Date,Point,Name,LULC_29_9_,Desc,Soil_Data_,Soil Type,xcoord,ycoord,Depth,MMRI,Bulk_density,Vol_Lab,Porosity,SMC_probe
23/11/2025,D3_10,D3,Crop Land,"Maize, beans",19,Nitisols,36.87733794,-0.41077175,10,0.48,0.965407312,0.209829052,0.635695354,0.222682387
4/12/2025,F3_10,F3,Barren Land,Thatha,3,Andosols,36.8661051,-0.407722,10,0.15,1.104900996,0.347917185,0.583056228,0.277682387
14/12/2025,J_10,J,Barren Land,to Nyaribo,10,Rhodic Nitisols,36.9798124,-0.384618414,10,0.18,1.236691778,0.35409004,0.533323857,0.383849053
26/11/2025,L3_10,L3,Crop Land,mixed crops,6,Cambisols,36.90530324,-0.405303706,10,0.38,0.951505807,0.306076012,0.640941205,0.25751572
24/11/2025,M_10,M,Barren Land,BR to short grass (RL),19,Vertisols,36.9231177,-0.3517186,10,0.17,1.4556986,0.211192309,0.450679774,0.22301572
25/11/2025,N_10,N,Forest Land,next to Aberdares,19,Nitisols,36.9080169,-0.3645039,10,0.22,0.992695143,0.282195766,0.625398059,0.256849053
26/11/2025,N3_10,N3,Crop Land,"Coffee, Hill Farm",20,Phaeozems,36.9155525,-0.4014252,10,0.55,0.848122498,0.207095684,0.679953774,0.262682387
4/12/2025,P_10,P,Crop Land,"mixed cropping, shades, Munyoroku",19,Nitisols,36.90224982,-0.379839494,10,0.32,0.928575715,0.280897012,0.64959407,0.313182387
26/11/2025,Q_10,Q,Range Land,"short grass, Kihuyo",19,Nitisols,36.9071706,-0.3865232,10,0.22,0.937932056,0.244813399,0.646063375,0.267682387
12/10/2025,R_10,R,Crop Land,"mixed cropping, across the slope, Muringato",19,Nitisols,36.9492931,-0.4059012,10,0.26,0.921327368,0.305327177,0.652329295,0.32301572
20/11/2025,S_10,S,Wet Land,near river bank,20,Phaeozems,36.9137475,-0.3372657,10,0.26,0.86031499,0.611975919,0.675352834,0.55701572
25/11/2025,T_10,T,Built up Land,"Building and road reserve, murramed",10,Vertisols,36.9387643,-0.3380404,10,0.22,1.720250647,0.174712989,0.350848812,0.277333333
4/12/2025,V_10,V,Crop Land,"Tea, Hill Farm",19,Nitisols,36.9095152,-0.3958077,10,0.24,0.870098057,0.379847398,0.671661111,0.25401572
23/11/2025,X_10,X,Crop Land,Tea,19,Nitisols,36.89378426,-0.394910906,10,0.37,0.996811544,0.296152093,0.6238447,0.212682387
